Address;City;Company;Name Full;Phone;Plus4;State;Zip;MD_PlaceCode;MD_LocationType;MD_MelissaAddressKeyBase;MD_Plus4;MD_MelissaAddressKey;MD_TotalSalesEstimate;MD_Phone;MD_NAICSCode1;MD_SICDescription1;MD_CountyName;MD_WebAddress;MD_CensusBlock;MD_Suite;MD_NAICSDescription1;MD_DeliveryIndicator;MD_CensusTract;MD_SICDescription2;MD_SICDescription3;MD_Latitude;MD_StockTicker;MD_PostalCode;MD_SICCode2;MD_SICCode1;MD_SICCode3;MD_PlaceName;MD_Longitude;MD_NAICSDescription3;MD_CountyFIPS;MD_NAICSDescription2;MD_State;MD_AddressLine1;MD_TotalEmployeesEstimate;MD_CompanyName;MD_City;MD_NAICSCode3;MD_NAICSCode2;MD_Results
4900 Griscom St              ;Philadelphia   ;Frankford Community Devmnt    ;Washington Kimberly   ;2157436580;2622;PA;19124;60000                                             ;3                                                 ;                                                  ;2622                                              ;5387093071                                        ;392000                                            ;2157436580                                        ;54161401                                          ;BUSINESS MANAGEMENT CONSULTANTS                   ;Philadelphia                                      ;                                                  ;1004                                              ;                                                  ;PROCESS, PHYSICAL DISTR/LOGISTICS CONSULTING SVCS ;                                                  ;030100                                            ;E-COMMERCE                                        ;                                                  ;40.01979                                          ;                                                  ;19124     ;596104                                            ;874201                                            ;                                                  ;Philadelphia                                      ;-75.08253                                         ;                                                  ;42101                                             ;ELECTRONIC SHOPPING                               ;PA                                                ;4900 Griscom St                                   ;2                                                 ;Frankford Community Devmnt                        ;Philadelphia                                      ;                                                  ;45411101                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
2847 Tyson Ave               ;Philadelphia   ;Tommy's Laundromat            ;;2153388838;;PA;19149;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19149     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;2847 Tyson Ave                                    ;                                                  ;Tommy's Laundromat                                ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
690 W Dekalb Pike # 2011     ;King of Prussia;American Vision At the Court  ;Kirshner Gary         ;6102653800;5026;PA;19406;39736                                             ;3                                                 ;7534700726                                        ;5026                                              ;2941715095                                        ;2416000                                           ;6102653800                                        ;44613003                                          ;OPTICAL GOODS-RETAIL                              ;Montgomery                                        ;                                                  ;1097                                              ;Ste 2011                                          ;OPTICAL GOODS STORES                              ;                                                  ;205801                                            ;OPTICIANS                                         ;                                                  ;40.089203                                         ;                                                  ;19406     ;599504                                            ;599502                                            ;                                                  ;King of Prussia                                   ;-75.385959                                        ;                                                  ;42091                                             ;OPTICAL GOODS STORES                              ;PA                                                ;690 W Dekalb Pike                                 ;12                                                ;American Vision At the Court                      ;King Of Prussia                                   ;                                                  ;44613004                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
406 S 22nd St                ;Philadelphia   ;Globe Research & Edu Fndtn    ;House Robert          ;2155454750;1101;PA;19146;60000                                             ;3                                                 ;                                                  ;1101                                              ;7163369425                                        ;43300000                                          ;2155454750                                        ;81391002                                          ;ASSOCIATIONS                                      ;Philadelphia                                      ;www.phantomshockey.com                            ;4000                                              ;                                                  ;BUSINESS ASSOCIATIONS                             ;                                                  ;001201                                            ;SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC          ;AUTOMOBILE PARTS & SUPPLIES-MFRS                  ;39.94674                                          ;                                                  ;19146     ;822101                                            ;861102                                            ;371401                                            ;Philadelphia                                      ;-75.1785                                          ;AGENTS & MANAGERS FOR PUBLIC FIGURES              ;42101                                             ;COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS     ;PA                                                ;406 S 22nd St                                     ;4                                                 ;Globe Research & EDU Fndtn                        ;Philadelphia                                      ;711410                                            ;611310                                            ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS10      
239 Thompson Building Tjuh   ;Philadelphia   ;Robertson Bonnie M NP         ;Robertson Bonnie M NP ;2152922662;;PA;19107;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;Bldg TJUH                                         ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19107     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;239 Thompson Building Tjuh                        ;                                                  ;Robertson Bonnie M NP                             ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
191 Pennsylvania Ave         ;Malvern        ;Specialty Medical Products    ;Harris Bud            ;6106441370;2418;PA;19355;46792                                             ;3                                                 ;                                                  ;2418                                              ;9072802431                                        ;1591000                                           ;6106441370                                        ;44619904                                          ;HOME HEALTH & HEALTH CARE EQUIPMENT               ;Chester                                           ;www.smpcares.com                                  ;2015                                              ;                                                  ;ALL OTHER HEALTH & PERSONAL CARE STORES           ;                                                  ;300400                                            ;PHYSICIANS & SURGEONS EQUIP & SUPLS-WHLS          ;                                                  ;40.03701                                          ;                                                  ;19355     ;504704                                            ;599920                                            ;                                                  ;Malvern                                           ;-75.52134                                         ;                                                  ;42029                                             ;MEDICAL, DENTAL/HOSPITAL EQUIP/SUPLS MRCHNT WHLSRS;PA                                                ;191 Pennsylvania Ave                              ;11                                                ;Specialty Medical Products Inc.                   ;Malvern                                           ;                                                  ;42345028                                          ;AS01,AS16,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11 
PO Box 24166                 ;Philadelphia   ;Paul Brothers Autobody        ;Nygard Charles        ;2154746121;166;PA;19139;60000                                             ;3                                                 ;6952657289                                        ;0166                                              ;3941239518                                        ;2535000                                           ;2157476200                                        ;81112102                                          ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;Philadelphia                                      ;                                                  ;1005                                              ;                                                  ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;                                                  ;008500                                            ;                                                  ;                                                  ;39.95739                                          ;                                                  ;19139     ;                                                  ;753201                                            ;                                                  ;Philadelphia                                      ;-75.22157                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;PO Box 24166                                      ;18                                                ;Paul Bros. Auto Body                              ;Philadelphia                                      ;                                                  ;                                                  ;AS01,AS20,FS01,FS04,GS05,PS02,PS08                
890 W Lincoln Hwy            ;Coatesville    ;Valley Township Police Dept   ;Friel Joseph          ;6103848133;1943;PA;19320;                                                  ;3                                                 ;                                                  ;1943                                              ;7848106234                                        ;                                                  ;6103848133                                        ;92212003                                          ;POLICE DEPARTMENTS                                ;Chester                                           ;www.valleytownship.org                            ;1029                                              ;                                                  ;POLICE PROTECTION                                 ;                                                  ;305300                                            ;GOVERNMENT OFFICES-CITY, VILLAGE & TWP            ;                                                  ;39.98401                                          ;                                                  ;19320     ;912104                                            ;922104                                            ;                                                  ;                                                  ;-75.84564                                         ;                                                  ;42029                                             ;LEGISLATIVE BODIES                                ;PA                                                ;890 W Lincoln Hwy                                 ;11                                                ;Valley Township Police Dept.                      ;Coatesville                                       ;                                                  ;921120                                            ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
300 E Tioga St               ;Philadelphia   ;P S G Multiservice            ;;2157392900;1001;PA;19134;60000                                             ;3                                                 ;                                                  ;1001                                              ;6888819185                                        ;120000                                            ;2157392900                                        ;54199009                                          ;SERVICES NEC                                      ;Philadelphia                                      ;                                                  ;6006                                              ;                                                  ;ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS ;                                                  ;019200                                            ;                                                  ;                                                  ;40.00242                                          ;                                                  ;19134     ;                                                  ;899999                                            ;                                                  ;Philadelphia                                      ;-75.12427                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;300 E Tioga St                                    ;1                                                 ;P S G Multiservice                                ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
9255 Roosevelt Blvd          ;Philadelphia   ;Today's Video                 ;;2159411582;2205;PA;19114;60000                                             ;                                                  ;                                                  ;2205                                              ;4133961671                                        ;                                                  ;2159411582                                        ;                                                  ;ENTERTAINERS-ADULT                                ;Philadelphia                                      ;                                                  ;1023                                              ;                                                  ;                                                  ;                                                  ;034600                                            ;                                                  ;                                                  ;40.074795                                         ;                                                  ;19114     ;                                                  ;792227                                            ;                                                  ;Philadelphia                                      ;-75.031436                                        ;                                                  ;42101                                             ;                                                  ;PA                                                ;9255 Roosevelt Blvd                               ;                                                  ;Today's Video                                     ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
4400 Island Ave              ;Philadelphia   ;Electric Charging Station     ;;8887584389;;PA;19153;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19153     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;4400 Island Ave                                   ;                                                  ;Electric Charging Station                         ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
106 Heather Hill Dr          ;Downingtown    ;Mary Kay Cosmetics            ;Sutherland Nancy      ;6104580329;1826;PA;19335;                                                  ;1                                                 ;                                                  ;1826                                              ;3272478616                                        ;145000                                            ;6104580329                                        ;44612001                                          ;COSMETICS & PERFUMES-RETAIL                       ;Chester                                           ;                                                  ;1087                                              ;                                                  ;COSMETICS, BEAUTY SUPPLIES & PERFUME STORES       ;                                                  ;304501                                            ;                                                  ;                                                  ;40.07589                                          ;                                                  ;19335     ;                                                  ;599992                                            ;                                                  ;                                                  ;-75.69668                                         ;                                                  ;42029                                             ;                                                  ;PA                                                ;106 Heather Hill Dr                               ;1                                                 ;Mary Kay Cosmetics                                ;Downingtown                                       ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
3101 Lone Oak Rd             ;Paoli          ;Hardware Center               ;;2705544001;;PA;19301;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19301     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;3101 Lone Oak Rd                                  ;                                                  ;Hardware Center                                   ;Paoli                                             ;                                                  ;                                                  ;AE02,FE01                                         
131 Nutt Rd                  ;Phoenixville   ;Nova Care                     ;Sofia Antonio         ;6109839300;3905;PA;19460;60120                                             ;1                                                 ;                                                  ;3905                                              ;2352789720                                        ;510000                                            ;6109839300                                        ;62431009                                          ;REHABILITATION SERVICES                           ;Chester                                           ;www.novacare.com                                  ;2041                                              ;                                                  ;VOCATIONAL REHABILITATION SERVICES                ;                                                  ;300700                                            ;OCCUPATIONAL THERAPISTS                           ;                                                  ;40.12437                                          ;                                                  ;19460     ;804911                                            ;833102                                            ;                                                  ;Phoenixville                                      ;-75.5141                                          ;                                                  ;42029                                             ;OFFICES-PHYSICAL, OCCPTNL/SPEECH THRPSTS/AUDLGSTS ;PA                                                ;131 Nutt Rd                                       ;4                                                 ;Nova Care                                         ;Phoenixville                                      ;                                                  ;62134006                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
522 S 2nd St                 ;Philadelphia   ;Wren Brendan                  ;Wren Brendan          ;2156259840;2409;PA;19147;60000                                             ;3                                                 ;                                                  ;2409                                              ;8697340666                                        ;44000                                             ;2156259840                                        ;62133002                                          ;PHARMACISTS                                       ;Philadelphia                                      ;                                                  ;1016                                              ;                                                  ;OFFICES-MENTAL HEALTH PRACTITIONERS  (EXC PHYSCNS);                                                  ;001002                                            ;                                                  ;                                                  ;39.941652                                         ;                                                  ;19147     ;                                                  ;804939                                            ;                                                  ;Philadelphia                                      ;-75.145855                                        ;                                                  ;42101                                             ;                                                  ;PA                                                ;522 S 2nd St                                      ;1                                                 ;Wren Brendan                                      ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
907 N Bethlehem Pike         ;Spring House   ;Il Giardino Pizza Cafe Inc    ;Zito Tom              ;2156468034;;PA;19477;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19477     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;907 N Bethlehem Pike                              ;                                                  ;IL Giardino Pizza Cafe Inc.                       ;Spring House                                      ;                                                  ;                                                  ;AE10,FE01                                         
614 Westtown Rd # C          ;West Chester   ;Wrights Automotive Group      ;Perl Coleen           ;6104299950;4981;PA;19382;                                                  ;3                                                 ;9627458919                                        ;4981                                              ;9695375597                                        ;293000                                            ;6104299950                                        ;81111104                                          ;AUTOMOBILE REPAIRING & SERVICE                    ;Chester                                           ;                                                  ;3020                                              ;Ste C                                             ;GENERAL AUTOMOTIVE REPAIR                         ;                                                  ;302706                                            ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;AUTOMOBILE CUSTOMIZING                            ;39.95883                                          ;                                                  ;19382     ;753201                                            ;753801                                            ;753203                                            ;                                                  ;-75.58625                                         ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;42029                                             ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;PA                                                ;614 Westtown Rd                                   ;2                                                 ;Wrights Automotive Group                          ;West Chester                                      ;81112103                                          ;81112102                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
969 Valley Ct                ;Pottstown      ;Buzby Rebecc                  ;Buzby Rebecc          ;4846147816;2433;PA;19464;62396                                             ;3                                                 ;                                                  ;2433                                              ;4201061299                                        ;79000                                             ;4846147816                                        ;62134007                                          ;PHYSICAL THERAPISTS                               ;Montgomery                                        ;                                                  ;3008                                              ;                                                  ;OFFICES-PHYSICAL, OCCPTNL/SPEECH THRPSTS/AUDLGSTS ;                                                  ;208702                                            ;                                                  ;                                                  ;40.26191                                          ;                                                  ;19464     ;                                                  ;804918                                            ;                                                  ;Pottsgrove                                        ;-75.61224                                         ;                                                  ;42091                                             ;                                                  ;PA                                                ;969 Valley Ct                                     ;1                                                 ;Buzby Rebecc                                      ;Pottstown                                         ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
700 S Henderson Rd # 202     ;King of Prussia;Merion Investment Partners    ;Rodgers Edward J      ;6109925880;3530;PA;19406;39736                                             ;3                                                 ;8738951665                                        ;3530                                              ;8134114929                                        ;647000                                            ;6109925880                                        ;54161401                                          ;BUSINESS MANAGEMENT CONSULTANTS                   ;Montgomery                                        ;www.merionpartners.com                            ;1010                                              ;Ste 202                                           ;PROCESS, PHYSICAL DISTR/LOGISTICS CONSULTING SVCS ;                                                  ;205905                                            ;VENTURE CAPITAL COMPANIES                         ;INVESTMENTS                                       ;40.07618                                          ;                                                  ;19406     ;679998                                            ;874201                                            ;621111                                            ;King of Prussia                                   ;-75.35192                                         ;SECURITIES BROKERAGE                              ;42091                                             ;MISCELLANEOUS INTERMEDIATION                      ;PA                                                ;700 S Henderson Rd                                ;4                                                 ;Merion Investment Partners                        ;King Of Prussia                                   ;523120                                            ;52391003                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
676 Dekalb Pike # 105        ;Blue Bell      ;Apex Physical Therapy         ;Warenius Brian        ;6102700300;1223;PA;19422;                                                  ;3                                                 ;3434117360                                        ;1223                                              ;6709077993                                        ;550000                                            ;6102700300                                        ;62134007                                          ;PHYSICAL THERAPISTS                               ;Montgomery                                        ;www.excelphysicaltherapy.com                      ;3017                                              ;Ste 105                                           ;OFFICES-PHYSICAL, OCCPTNL/SPEECH THRPSTS/AUDLGSTS ;                                                  ;203204                                            ;E-COMMERCE                                        ;PHYSICIANS & SURGEONS                             ;40.169487                                         ;                                                  ;19422     ;596104                                            ;804918                                            ;801101                                            ;                                                  ;-75.286051                                        ;OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS)   ;42091                                             ;ELECTRONIC SHOPPING                               ;PA                                                ;676 Dekalb Pike                                   ;7                                                 ;Apex Physical Therapy                             ;Blue Bell                                         ;621111                                            ;45411101                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
628 E Lincoln Hwy            ;Coatesville    ;Olive Branch Finance Co LLC   ;;6104660700;3532;PA;19320;14712                                             ;3                                                 ;                                                  ;3532                                              ;9036598098                                        ;                                                  ;6104660700                                        ;52229202                                          ;REAL ESTATE LOANS                                 ;Chester                                           ;                                                  ;2013                                              ;                                                  ;REAL ESTATE CREDIT                                ;                                                  ;305700                                            ;                                                  ;                                                  ;39.98463                                          ;                                                  ;19320     ;                                                  ;616201                                            ;                                                  ;Coatesville                                       ;-75.81183                                         ;                                                  ;42029                                             ;                                                  ;PA                                                ;628 E Lincoln Hwy                                 ;4                                                 ;Olive Branch Finance Co. LLC                      ;Coatesville                                       ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
823 Lincoln Ave # 13         ;West Chester   ;J & B Importers Inc           ;Green Bill            ;6107016320;4433;PA;19380;                                                  ;3                                                 ;                                                  ;4433                                              ;3748502894                                        ;10800000                                          ;6107016320                                        ;42399019                                          ;IMPORTERS (WHLS)                                  ;Chester                                           ;www.jbimporters.com                               ;2011                                              ;Ste 13                                            ;OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHLSRS ;                                                  ;302702                                            ;BICYCLE FABRICATORS (MFRS)                        ;BICYCLES-WHOLESALE                                ;39.97297                                          ;                                                  ;19380     ;375102                                            ;509905                                            ;509102                                            ;                                                  ;-75.59256                                         ;SPORTING & RECREATIONAL GOODS/SUPLS MRCHNT WHLSRS ;42029                                             ;MOTORCYCLE, BICYCLE & PARTS MANUFACTURING         ;PA                                                ;823 Lincoln Ave                                   ;11                                                ;J & B Importers                                   ;West Chester                                      ;42391055                                          ;33699101                                          ;AS01,FS01,FS04,FS05,GS05,PS01,PS08,PS11           
15479 US Highway 160         ;Forsyth        ;Taney County Health Dept      ;Blount Chyrelle L DDS ;4175464725;;MO;65653;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65653     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;15479 US Highway 160                              ;                                                  ;Taney County Health Dept.                         ;Forsyth                                           ;                                                  ;                                                  ;AE10,FE01                                         
